"","VE","R0","value"
"1",0,"1",0.163
"2",0,"2",0.539
"3",0,"3",1
"4",0,"4",1.57
"5",0,"5",2.16
"6",0,"6",2.98
"7",0,"7",4.3
"8",0,"8",5.97
"9",0,"9",7.34
"10",0,"10",7.38
"11",0.1,"1",0.143
"12",0.1,"2",0.366
"13",0.1,"3",0.934
"14",0.1,"4",1.42
"15",0.1,"5",1.9
"16",0.1,"6",2.56
"17",0.1,"7",3.4
"18",0.1,"8",4.38
"19",0.1,"9",5.15
"20",0.1,"10",6.81
"21",0.2,"1",0.132
"22",0.2,"2",0.341
"23",0.2,"3",0.564
"24",0.2,"4",0.98
"25",0.2,"5",1.65
"26",0.2,"6",2.25
"27",0.2,"7",2.91
"28",0.2,"8",3.58
"29",0.2,"9",4.23
"30",0.2,"10",4.88
"31",0.3,"1",0.127
"32",0.3,"2",0.286
"33",0.3,"3",0.518
"34",0.3,"4",0.918
"35",0.3,"5",1.26
"36",0.3,"6",1.82
"37",0.3,"7",2.78
"38",0.3,"8",2.83
"39",0.3,"9",3.56
"40",0.3,"10",4.02
"41",0.4,"1",0.0972
"42",0.4,"2",0.21
"43",0.4,"3",0.388
"44",0.4,"4",0.639
"45",0.4,"5",1.06
"46",0.4,"6",1.38
"47",0.4,"7",1.64
"48",0.4,"8",2.04
"49",0.4,"9",2.65
"50",0.4,"10",4.01
"51",0.5,"1",0.0607
"52",0.5,"2",0.188
"53",0.5,"3",0.292
"54",0.5,"4",0.469
"55",0.5,"5",0.602
"56",0.5,"6",1.01
"57",0.5,"7",1.02
"58",0.5,"8",1.9
"59",0.5,"9",2.22
"60",0.5,"10",2.4
"61",0.6,"1",0.0402
"62",0.6,"2",0.104
"63",0.6,"3",0.224
"64",0.6,"4",0.308
"65",0.6,"5",0.454
"66",0.6,"6",0.74
"67",0.6,"7",1.02
"68",0.6,"8",1.2
"69",0.6,"9",1.49
"70",0.6,"10",1.5
"71",0.7,"1",0.037
"72",0.7,"2",0.0487
"73",0.7,"3",0.122
"74",0.7,"4",0.233
"75",0.7,"5",0.345
"76",0.7,"6",0.298
"77",0.7,"7",0.546
"78",0.7,"8",0.635
"79",0.7,"9",1.07
"80",0.7,"10",1.17
"81",0.8,"1",0.0167
"82",0.8,"2",0.0547
"83",0.8,"3",0.106
"84",0.8,"4",0.175
"85",0.8,"5",0.214
"86",0.8,"6",0.25
"87",0.8,"7",0.22
"88",0.8,"8",0.38
"89",0.8,"9",0.432
"90",0.8,"10",0.528
"91",0.9,"1",0.017
"92",0.9,"2",0.025
"93",0.9,"3",0.0357
"94",0.9,"4",0.0361
"95",0.9,"5",0.0757
"96",0.9,"6",0.0816
"97",0.9,"7",0.107
"98",0.9,"8",0.134
"99",0.9,"9",0.138
"100",0.9,"10",0.216
